program_started : 1563809268853829 : 8537
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563809280122941 : 10.0.85.35
device_connected : 1563809285927808 : 10.0.85.36
device_connected : 1563809289306285 : 10.0.85.38
received_accepted_message : 1563809322490169 : 10.0.85.35
received_rejected_message : 1563809328350589 : 10.0.85.36
generated_message : 1563809329622915
sent_message : 1563809331855796 : 10.0.85.35
sent_message : 1563809332087220 : 10.0.85.36
sent_message : 1563809332287579 : 10.0.85.36
sent_message : 1563809332506314 : 10.0.85.38
sent_message : 1563809332735281 : 10.0.85.38
received_rejected_message : 1563809336629840 : 10.0.85.38
generated_message : 1563809389627440
sent_message : 1563809397634382 : 10.0.85.35
sent_message : 1563809398261363 : 10.0.85.36
sent_message : 1563809398964092 : 10.0.85.38
received_accepted_message : 1563809454959359 : 10.0.85.35
received_accepted_message : 1563809461793455 : 10.0.85.36
received_rejected_message : 1563809462003581 : 10.0.85.36
sent_message : 1563809465516558 : 10.0.85.35
sent_message : 1563809466286692 : 10.0.85.36
sent_message : 1563809467459093 : 10.0.85.38
sent_message : 1563809467663091 : 10.0.85.38
received_accepted_message : 1563809472285527 : 10.0.85.38
received_rejected_message : 1563809472485163 : 10.0.85.38
received_rejected_message : 1563809472678240 : 10.0.85.38
received_rejected_message : 1563809478305829 : 10.0.85.35
received_rejected_message : 1563809478483176 : 10.0.85.35
received_rejected_message : 1563809486097992 : 10.0.85.36
sent_message : 1563809489535941 : 10.0.85.35
sent_message : 1563809490869254 : 10.0.85.36
generated_message : 1563809569632087
received_accepted_message : 1563809578651836 : 10.0.85.35
received_rejected_message : 1563809586034029 : 10.0.85.36
sent_message : 1563809589190344 : 10.0.85.35
sent_message : 1563809590964349 : 10.0.85.36
sent_message : 1563809591197053 : 10.0.85.36
sent_message : 1563809592874776 : 10.0.85.38
sent_message : 1563809593111097 : 10.0.85.38
received_rejected_message : 1563809597205868 : 10.0.85.38
received_accepted_message : 1563809692839353 : 10.0.85.36
sent_message : 1563809696879923 : 10.0.85.35
sent_message : 1563809701465106 : 10.0.85.38
received_rejected_message : 1563809705223474 : 10.0.85.38
received_rejected_message : 1563809710923433 : 10.0.85.35
received_accepted_message : 1563809760688352 : 10.0.85.38
received_accepted_message : 1563809764973142 : 10.0.85.35
received_rejected_message : 1563809773359400 : 10.0.85.36
received_rejected_message : 1563809773553565 : 10.0.85.36
sent_message : 1563809778392962 : 10.0.85.35
sent_message : 1563809781484804 : 10.0.85.36
sent_message : 1563809781688417 : 10.0.85.36
sent_message : 1563809784094961 : 10.0.85.38
received_rejected_message : 1563809789091132 : 10.0.85.38
received_rejected_message : 1563809792549172 : 10.0.85.35
received_accepted_message : 1563809847345913 : 10.0.85.38
received_rejected_message : 1563809849042913 : 10.0.85.35
received_rejected_message : 1563809859032055 : 10.0.85.36
sent_message : 1563809866273531 : 10.0.85.35
sent_message : 1563809869454129 : 10.0.85.36
generated_message : 1563809869635410
sent_message : 1563809897530499 : 10.0.85.35
sent_message : 1563809900549755 : 10.0.85.36
sent_message : 1563809903893555 : 10.0.85.38
received_accepted_message : 1563810000229474 : 10.0.85.35
received_accepted_message : 1563810009308045 : 10.0.85.36
sent_message : 1563810021063429 : 10.0.85.35
sent_message : 1563810024640294 : 10.0.85.36
sent_message : 1563810029582247 : 10.0.85.38
sent_message : 1563810030268835 : 10.0.85.38
received_rejected_message : 1563810032468127 : 10.0.85.38
received_rejected_message : 1563810032671384 : 10.0.85.38
received_rejected_message : 1563810034094538 : 10.0.85.35
received_rejected_message : 1563810040768667 : 10.0.85.36
received_accepted_message : 1563810066780247 : 10.0.85.35
sent_message : 1563810092659742 : 10.0.85.36
sent_message : 1563810097049605 : 10.0.85.38
received_rejected_message : 1563810099035474 : 10.0.85.38
received_rejected_message : 1563810106745899 : 10.0.85.36
received_accepted_message : 1563810135187100 : 10.0.85.38
received_rejected_message : 1563810135606760 : 10.0.85.35
received_rejected_message : 1563810142599667 : 10.0.85.36
sent_message : 1563810157252803 : 10.0.85.35
sent_message : 1563810161975164 : 10.0.85.36
generated_message : 1563810173928586
sent_message : 1563810191457370 : 10.0.85.35
sent_message : 1563810195480063 : 10.0.85.36
sent_message : 1563810199521139 : 10.0.85.38
received_accepted_message : 1563810245064321 : 10.0.85.35
received_accepted_message : 1563810246552137 : 10.0.85.36
sent_message : 1563810257816986 : 10.0.85.35
sent_message : 1563810262500528 : 10.0.85.36
sent_message : 1563810268293683 : 10.0.85.38
sent_message : 1563810268553152 : 10.0.85.38
received_rejected_message : 1563810278641072 : 10.0.85.38
received_rejected_message : 1563810279140113 : 10.0.85.38
received_rejected_message : 1563810282027267 : 10.0.85.36
received_rejected_message : 1563810282075241 : 10.0.85.35
received_accepted_message : 1563810319267206 : 10.0.85.36
sent_message : 1563810330182750 : 10.0.85.35
sent_message : 1563810339745399 : 10.0.85.38
received_rejected_message : 1563810353622394 : 10.0.85.38
received_rejected_message : 1563810356220093 : 10.0.85.35
received_accepted_message : 1563810389974051 : 10.0.85.38
received_rejected_message : 1563810394331778 : 10.0.85.35
sent_message : 1563810405249259 : 10.0.85.35
sent_message : 1563810410199274 : 10.0.85.36
received_rejected_message : 1563810432565767 : 10.0.85.36
received_accepted_message : 1563810432784773 : 10.0.85.36
received_rejected_message : 1563810433477721 : 10.0.85.35
sent_message : 1563810444023534 : 10.0.85.35
sent_message : 1563810456375200 : 10.0.85.38
received_accepted_message : 1563810466224313 : 10.0.85.38
received_rejected_message : 1563810466452904 : 10.0.85.38
generated_message : 1563810473934431
received_rejected_message : 1563810473997547 : 10.0.85.35
received_accepted_message : 1563810474412739 : 10.0.85.35
sent_message : 1563810483427501 : 10.0.85.35
sent_message : 1563810483675743 : 10.0.85.35
sent_message : 1563810490683581 : 10.0.85.36
sent_message : 1563810490913951 : 10.0.85.36
sent_message : 1563810491139605 : 10.0.85.36
sent_message : 1563810499465743 : 10.0.85.38
sent_message : 1563810499808617 : 10.0.85.38
received_rejected_message : 1563810509709634 : 10.0.85.38
received_rejected_message : 1563810512548127 : 10.0.85.36
