program_started : 1563834679017741 : 8538
circBuffer.txt not found!
Starting with clean buffers
device_connected : 1563834693528067 : 10.0.85.35
device_connected : 1563834696573370 : 10.0.85.36
device_connected : 1563834697930013 : 10.0.85.37
generated_message : 1563834709853750
received_accepted_message : 1563834713875074 : 10.0.85.35
received_accepted_message : 1563834717421304 : 10.0.85.36
received_rejected_message : 1563834717664925 : 10.0.85.36
sent_message : 1563834719187644 : 10.0.85.35
sent_message : 1563834719767595 : 10.0.85.35
received_accepted_message : 1563834719239137 : 10.0.85.37
received_rejected_message : 1563834719790876 : 10.0.85.37
sent_message : 1563834720046548 : 10.0.85.36
sent_message : 1563834720252477 : 10.0.85.36
sent_message : 1563834720727821 : 10.0.85.36
sent_message : 1563834721330281 : 10.0.85.37
sent_message : 1563834721766886 : 10.0.85.37
sent_message : 1563834722017745 : 10.0.85.37
received_rejected_message : 1563834719836647 : 10.0.85.37
received_rejected_message : 1563834736028130 : 10.0.85.35
received_rejected_message : 1563834736243823 : 10.0.85.35
received_accepted_message : 1563834736638443 : 10.0.85.35
generated_message : 1563834739857814
received_rejected_message : 1563834740340713 : 10.0.85.36
received_accepted_message : 1563834740784588 : 10.0.85.36
sent_message : 1563834742855383 : 10.0.85.35
sent_message : 1563834743268062 : 10.0.85.35
sent_message : 1563834743468245 : 10.0.85.35
sent_message : 1563834745053970 : 10.0.85.36
sent_message : 1563834745257231 : 10.0.85.36
sent_message : 1563834746748019 : 10.0.85.37
sent_message : 1563834746968519 : 10.0.85.37
sent_message : 1563834747187363 : 10.0.85.37
received_rejected_message : 1563834743928254 : 10.0.85.37
received_accepted_message : 1563834747192716 : 10.0.85.37
received_rejected_message : 1563834747207754 : 10.0.85.37
received_rejected_message : 1563834761378174 : 10.0.85.35
received_rejected_message : 1563834761595076 : 10.0.85.35
received_rejected_message : 1563834765614769 : 10.0.85.36
received_rejected_message : 1563834765827451 : 10.0.85.36
sent_message : 1563834768745090 : 10.0.85.35
generated_message : 1563834769861296
sent_message : 1563834770652207 : 10.0.85.36
sent_message : 1563834772697106 : 10.0.85.37
received_accepted_message : 1563834788239344 : 10.0.85.35
sent_message : 1563834794717563 : 10.0.85.35
received_accepted_message : 1563834792608069 : 10.0.85.36
received_rejected_message : 1563834794992696 : 10.0.85.36
sent_message : 1563834797253544 : 10.0.85.36
sent_message : 1563834797497423 : 10.0.85.36
sent_message : 1563834799965862 : 10.0.85.37
sent_message : 1563834800214585 : 10.0.85.37
received_accepted_message : 1563834797969987 : 10.0.85.37
received_rejected_message : 1563834800225662 : 10.0.85.37
received_rejected_message : 1563834800237723 : 10.0.85.37
generated_message : 1563834800665349
received_rejected_message : 1563834817383270 : 10.0.85.35
received_rejected_message : 1563834817604777 : 10.0.85.35
received_accepted_message : 1563834818114977 : 10.0.85.35
sent_message : 1563834824215612 : 10.0.85.35
sent_message : 1563834824517091 : 10.0.85.35
sent_message : 1563834824774121 : 10.0.85.35
sent_message : 1563834827879196 : 10.0.85.36
sent_message : 1563834828207096 : 10.0.85.36
sent_message : 1563834828402517 : 10.0.85.36
received_rejected_message : 1563834822341260 : 10.0.85.36
received_accepted_message : 1563834828409232 : 10.0.85.36
received_rejected_message : 1563834828414140 : 10.0.85.36
generated_message : 1563834830676808
sent_message : 1563834831336405 : 10.0.85.37
sent_message : 1563834831639720 : 10.0.85.37
sent_message : 1563834831923448 : 10.0.85.37
received_accepted_message : 1563834830252075 : 10.0.85.37
received_rejected_message : 1563834831946286 : 10.0.85.37
received_rejected_message : 1563834831948398 : 10.0.85.37
received_rejected_message : 1563834850090521 : 10.0.85.35
received_rejected_message : 1563834850502399 : 10.0.85.35
received_accepted_message : 1563834850756759 : 10.0.85.35
sent_message : 1563834855447325 : 10.0.85.35
sent_message : 1563834855764198 : 10.0.85.35
sent_message : 1563834856097606 : 10.0.85.35
sent_message : 1563834860582654 : 10.0.85.36
sent_message : 1563834860832945 : 10.0.85.36
sent_message : 1563834861089590 : 10.0.85.36
received_rejected_message : 1563834859523016 : 10.0.85.36
received_accepted_message : 1563834861092880 : 10.0.85.36
generated_message : 1563834861933137
sent_message : 1563834865076523 : 10.0.85.37
sent_message : 1563834865429075 : 10.0.85.37
sent_message : 1563834865694050 : 10.0.85.37
received_rejected_message : 1563834861107157 : 10.0.85.36
received_accepted_message : 1563834867534680 : 10.0.85.37
received_rejected_message : 1563834867984280 : 10.0.85.37
received_rejected_message : 1563834868217935 : 10.0.85.37
received_accepted_message : 1563834868943584 : 10.0.85.37
received_rejected_message : 1563834885249872 : 10.0.85.35
sent_message : 1563834892888379 : 10.0.85.35
sent_message : 1563834893325093 : 10.0.85.35
sent_message : 1563834893753845 : 10.0.85.35
sent_message : 1563834894125694 : 10.0.85.35
received_accepted_message : 1563834885875858 : 10.0.85.35
generated_message : 1563834895700639
sent_message : 1563834902007207 : 10.0.85.36
sent_message : 1563834902254405 : 10.0.85.36
sent_message : 1563834902485749 : 10.0.85.36
sent_message : 1563834902688156 : 10.0.85.36
received_rejected_message : 1563834894149951 : 10.0.85.35
received_accepted_message : 1563834902693846 : 10.0.85.36
sent_message : 1563834908193086 : 10.0.85.37
sent_message : 1563834909098331 : 10.0.85.37
sent_message : 1563834909399411 : 10.0.85.37
sent_message : 1563834909639398 : 10.0.85.37
received_rejected_message : 1563834902702846 : 10.0.85.36
received_rejected_message : 1563834909644634 : 10.0.85.36
received_accepted_message : 1563834909657167 : 10.0.85.36
received_rejected_message : 1563834910290967 : 10.0.85.37
received_accepted_message : 1563834910603576 : 10.0.85.37
received_rejected_message : 1563834910922987 : 10.0.85.37
received_accepted_message : 1563834925914295 : 10.0.85.35
received_rejected_message : 1563834926122495 : 10.0.85.35
received_rejected_message : 1563834926742743 : 10.0.85.35
generated_message : 1563834932701638
sent_message : 1563834940205431 : 10.0.85.35
sent_message : 1563834940600465 : 10.0.85.35
sent_message : 1563834940820865 : 10.0.85.35
sent_message : 1563834941151364 : 10.0.85.35
sent_message : 1563834947597518 : 10.0.85.36
sent_message : 1563834948086353 : 10.0.85.36
sent_message : 1563834948449598 : 10.0.85.36
