program_started : 1564060767229515 : 8546
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564060788567082 : 10.0.85.35 : sd = 3
Adding to list of sockets as 0
client_device_connected : 1564060788581861 : 10.0.85.38 : sd = 4
Adding to list of sockets as 1
client_device_connected : 1564060788587174 : 10.0.85.37 : sd = 6
Adding to list of sockets as 2
server_device_connected : 1564060798184284 : 10.0.85.35 : sd = 8
Adding to list of sockets as 3
received_accepted_message : 1564060806482318 : 10.0.85.38 : sd=4
received_accepted_message : 1564060806847207 : 10.0.85.38 : sd=4
received_accepted_message : 1564060807210134 : 10.0.85.38 : sd=4
received_accepted_message : 1564060807696754 : 10.0.85.38 : sd=4
received_accepted_message : 1564060808894853 : 10.0.85.38 : sd=4
sent_message : 1564060809392693 : 10.0.85.35 : sd = 3
sent_message : 1564060810195381 : 10.0.85.35 : sd = 3
sent_message : 1564060810587728 : 10.0.85.35 : sd = 3
received_accepted_message : 1564060809635282 : 10.0.85.38 : sd=4
sent_message : 1564060814517112 : 10.0.85.37 : sd = 6
sent_message : 1564060814969921 : 10.0.85.37 : sd = 6
sent_message : 1564060815770093 : 10.0.85.37 : sd = 6
sent_message : 1564060816126209 : 10.0.85.37 : sd = 6
received_accepted_message : 1564060811257035 : 10.0.85.38 : sd=4
received_rejected_message : 1564060816137924 : 10.0.85.35 : sd=8
sent_message : 1564060818836589 : 10.0.85.35 : sd = 8
sent_message : 1564060819252205 : 10.0.85.35 : sd = 8
received_accepted_message : 1564060816149308 : 10.0.85.38 : sd=4
received_rejected_message : 1564060819266805 : 10.0.85.35 : sd=8
received_accepted_message : 1564060819291281 : 10.0.85.38 : sd=4
received_rejected_message : 1564060819293898 : 10.0.85.35 : sd=8
received_accepted_message : 1564060819294760 : 10.0.85.38 : sd=4
received_rejected_message : 1564060819295320 : 10.0.85.35 : sd=8
received_accepted_message : 1564060819296074 : 10.0.85.38 : sd=4
received_rejected_message : 1564060819296604 : 10.0.85.35 : sd=8
received_accepted_message : 1564060819297339 : 10.0.85.38 : sd=4
