program_started : 1564269041356645 : 8535
circBuffer.txt not found!
Starting with clean buffers
client_device_connected : 1564269061767802 : 10.0.85.36
client_device_connected : 1564269061782304 : 10.0.85.37
client_device_connected : 1564269081269796 : 10.0.85.38
received_accepted_message : 1564269131276837 : 10.0.85.36
received_rejected_message : 1564269138557027 : 10.0.85.37
sent_message : 1564269139876229 : 10.0.85.37
sent_message : 1564269139898919 : 10.0.85.38
received_rejected_message : 1564269144309639 : 10.0.85.38
received_accepted_message : 1564269255826971 : 10.0.85.37
sent_message : 1564269257146366 : 10.0.85.36
sent_message : 1564269257150801 : 10.0.85.38
received_accepted_message : 1564269261680528 : 10.0.85.38
received_rejected_message : 1564269261702509 : 10.0.85.38
received_rejected_message : 1564269268056613 : 10.0.85.36
received_rejected_message : 1564269268063580 : 10.0.85.36
received_rejected_message : 1564269275354277 : 10.0.85.37
sent_message : 1564269276772727 : 10.0.85.36
sent_message : 1564269276777896 : 10.0.85.37
generated_message : 1564269282015521
sent_message : 1564269296360734 : 10.0.85.36
sent_message : 1564269296374602 : 10.0.85.37
sent_message : 1564269296376203 : 10.0.85.38
received_accepted_message : 1564269365577998 : 10.0.85.36
received_rejected_message : 1564269373194136 : 10.0.85.37
sent_message : 1564269374964893 : 10.0.85.37
sent_message : 1564269374985908 : 10.0.85.38
received_rejected_message : 1564269378782484 : 10.0.85.38
received_accepted_message : 1564269490449000 : 10.0.85.37
sent_message : 1564269492126551 : 10.0.85.36
sent_message : 1564269492131577 : 10.0.85.38
received_rejected_message : 1564269496027465 : 10.0.85.38
received_rejected_message : 1564269502424994 : 10.0.85.36
received_accepted_message : 1564269554634740 : 10.0.85.38
received_rejected_message : 1564269561026269 : 10.0.85.36
received_rejected_message : 1564269568781827 : 10.0.85.37
sent_message : 1564269570134775 : 10.0.85.36
sent_message : 1564269570145471 : 10.0.85.37
generated_message : 1564269582025238
sent_message : 1564269589690865 : 10.0.85.36
sent_message : 1564269589694837 : 10.0.85.37
sent_message : 1564269589695810 : 10.0.85.38
received_accepted_message : 1564269658883690 : 10.0.85.36
received_rejected_message : 1564269666636368 : 10.0.85.37
sent_message : 1564269667825916 : 10.0.85.37
sent_message : 1564269667829057 : 10.0.85.38
received_rejected_message : 1564269671778627 : 10.0.85.38
generated_message : 1564269702041612
sent_message : 1564269706929114 : 10.0.85.36
sent_message : 1564269706944605 : 10.0.85.37
sent_message : 1564269706947262 : 10.0.85.38
received_accepted_message : 1564269776214482 : 10.0.85.36
received_rejected_message : 1564269783903975 : 10.0.85.37
received_accepted_message : 1564269783946831 : 10.0.85.37
sent_message : 1564269785165146 : 10.0.85.36
sent_message : 1564269785169218 : 10.0.85.37
sent_message : 1564269785174273 : 10.0.85.38
sent_message : 1564269785176577 : 10.0.85.38
received_rejected_message : 1564269788958730 : 10.0.85.38
received_rejected_message : 1564269788966092 : 10.0.85.38
received_accepted_message : 1564269788969372 : 10.0.85.38
received_rejected_message : 1564269795758946 : 10.0.85.36
received_rejected_message : 1564269795779574 : 10.0.85.36
received_rejected_message : 1564269803555991 : 10.0.85.37
sent_message : 1564269804707650 : 10.0.85.36
sent_message : 1564269804728637 : 10.0.85.37
received_accepted_message : 1564269834901249 : 10.0.85.36
received_rejected_message : 1564269842523262 : 10.0.85.37
sent_message : 1564269843850148 : 10.0.85.37
sent_message : 1564269843863547 : 10.0.85.38
received_rejected_message : 1564269847503241 : 10.0.85.38
generated_message : 1564269942054849
sent_message : 1564269961424181 : 10.0.85.36
sent_message : 1564269961432667 : 10.0.85.37
sent_message : 1564269961434057 : 10.0.85.38
received_accepted_message : 1564269971496587 : 10.0.85.36
received_rejected_message : 1564269979180530 : 10.0.85.37
sent_message : 1564269980957837 : 10.0.85.37
sent_message : 1564269980964717 : 10.0.85.38
received_accepted_message : 1564269984758016 : 10.0.85.38
received_rejected_message : 1564269984765952 : 10.0.85.38
received_rejected_message : 1564269991135331 : 10.0.85.36
received_rejected_message : 1564269998768968 : 10.0.85.37
sent_message : 1564270000422629 : 10.0.85.36
sent_message : 1564270000425520 : 10.0.85.37
generated_message : 1564270062070857
sent_message : 1564270078530902 : 10.0.85.36
sent_message : 1564270078539977 : 10.0.85.37
sent_message : 1564270078542347 : 10.0.85.38
received_accepted_message : 1564270096522430 : 10.0.85.37
sent_message : 1564270098102782 : 10.0.85.36
sent_message : 1564270098110535 : 10.0.85.38
received_accepted_message : 1564270101940895 : 10.0.85.38
received_rejected_message : 1564270101945313 : 10.0.85.38
received_rejected_message : 1564270108623010 : 10.0.85.36
received_rejected_message : 1564270108630401 : 10.0.85.36
received_rejected_message : 1564270116014360 : 10.0.85.37
sent_message : 1564270117616063 : 10.0.85.36
sent_message : 1564270117618935 : 10.0.85.37
received_accepted_message : 1564270147720459 : 10.0.85.36
received_rejected_message : 1564270155178661 : 10.0.85.37
sent_message : 1564270156716119 : 10.0.85.37
sent_message : 1564270156726339 : 10.0.85.38
received_rejected_message : 1564270160469177 : 10.0.85.38
generated_message : 1564270182088761
sent_message : 1564270195843475 : 10.0.85.36
sent_message : 1564270195852706 : 10.0.85.37
sent_message : 1564270195854224 : 10.0.85.38
received_accepted_message : 1564270272363738 : 10.0.85.37
sent_message : 1564270273979296 : 10.0.85.36
sent_message : 1564270273987030 : 10.0.85.38
received_rejected_message : 1564270277685039 : 10.0.85.38
received_rejected_message : 1564270284605927 : 10.0.85.36
received_accepted_message : 1564270323655065 : 10.0.85.36
received_accepted_message : 1564270330936714 : 10.0.85.37
received_rejected_message : 1564270330944403 : 10.0.85.37
sent_message : 1564270332591913 : 10.0.85.36
sent_message : 1564270332613174 : 10.0.85.37
sent_message : 1564270332614751 : 10.0.85.38
sent_message : 1564270332618304 : 10.0.85.38
received_rejected_message : 1564270336250086 : 10.0.85.38
received_rejected_message : 1564270336262419 : 10.0.85.38
received_rejected_message : 1564270343323524 : 10.0.85.36
received_accepted_message : 1564270382398184 : 10.0.85.36
received_rejected_message : 1564270389493940 : 10.0.85.37
sent_message : 1564270391236943 : 10.0.85.37
sent_message : 1564270391241381 : 10.0.85.38
